title,authors,paper_link,supplementary_link,arxiv_link
Unmixing Diffusion for Self-Supervised Hyperspectral Image Denoising,"Haijin Zeng,



Jiezhang Cao,



Kai Zhang,



Yongyong Chen,



Hiep Luong,



Wilfried Philips",,,
Seeing the World through Your Eyes,"Hadi Alzayer,



Kevin Zhang,



Brandon Feng,



Christopher A. Metzler,



Jia-Bin Huang",,,
DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery,"Yixuan Zhu,



Ao Li,



Yansong Tang,



Wenliang Zhao,



Jie Zhou,



Jiwen Lu",,,
Ungeneralizable Examples,"Jingwen Ye,



Xinchao Wang",,,
LaneCPP: Continuous 3D Lane Detection using Physical Priors,"Maximilian Pittner,



Joel Janai,



Alexandru P. Condurache",,,
CityDreamer: Compositional Generative Model of Unbounded 3D Cities,"Haozhe Xie,



Zhaoxi Chen,



Fangzhou Hong,



Ziwei Liu",,,
HEAL-SWIN: A Vision Transformer On The Sphere,"Oscar Carlsson,



Jan E. Gerken,



Hampus Linander,



Heiner Spieß,



Fredrik Ohlsson,



Christoffer Petersson,



Daniel Persson",,,
3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,"Dale Decatur,



Itai Lang,



Kfir Aberman,



Rana Hanocka",,,
Test-Time Linear Out-of-Distribution Detection,"Ke Fan,



Tong Liu,



Xingyu Qiu,



Yikai Wang,



Lian Huai,



Zeyu Shangguan,



Shuang Gou,



Fengjian Liu,



Yuqian Fu,



Yanwei Fu,



Xingqun Jiang",,,
Guided Slot Attention for Unsupervised Video Object Segmentation,"Minhyeok Lee,



Suhwan Cho,



Dogyoon Lee,



Chaewon Park,



Jungho Lee,



Sangyoun Lee",,,
Unsupervised Blind Image Deblurring Based on Self-Enhancement,"Lufei Chen,



Xiangpeng Tian,



Shuhua Xiong,



Yinjie Lei,



Chao Ren",,,
Action Detection via an Image Diffusion Process,"Lin Geng Foo,



Tianjiao Li,



Hossein Rahmani,



Jun Liu",,,
Programmable Motion Generation for Open-Set Motion Control Tasks,"Hanchao Liu,



Xiaohang Zhan,



Shaoli Huang,



Tai-Jiang Mu,



Ying Shan",,,
SCE-MAE: Selective Correspondence Enhancement with Masked Autoencoder for Self-Supervised Landmark Estimation,"Kejia Yin,



Varshanth Rao,



Ruowei Jiang,



Xudong Liu,



Parham Aarabi,



David B. Lindell",,,
LAKE-RED: Camouflaged Images Generation by Latent Background Knowledge Retrieval-Augmented Diffusion,"Pancheng Zhao,



Peng Xu,



Pengda Qin,



Deng-Ping Fan,



Zhicheng Zhang,



Guoli Jia,



Bowen Zhou,



Jufeng Yang",,,
TIGER: Time-Varying Denoising Model for 3D Point Cloud Generation with Diffusion Process,"Zhiyuan Ren,



Minchul Kim,



Feng Liu,



Xiaoming Liu",,,
ConTex-Human: Free-View Rendering of Human from a Single Image with Texture-Consistent Synthesis,"Xiangjun Gao,



Xiaoyu Li,



Chaopeng Zhang,



Qi Zhang,



Yanpei Cao,



Ying Shan,



Long Quan",,,
UFineBench: Towards Text-based Person Retrieval with Ultra-fine Granularity,"Jialong Zuo,



Hanyu Zhou,



Ying Nie,



Feng Zhang,



Tianyu Guo,



Nong Sang,



Yunhe Wang,



Changxin Gao",,,
Efficient Hyperparameter Optimization with Adaptive Fidelity Identification,"Jiantong Jiang,



Zeyi Wen,



Atif Mansoor,



Ajmal Mian",,,
ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,"Haokai Pang,



Heming Zhu,



Adam Kortylewski,



Christian Theobalt,



Marc Habermann",,,
Focus on Hiders: Exploring Hidden Threats for Enhancing Adversarial Training,"Qian Li,



Yuxiao Hu,



Yinpeng Dong,



Dongxiao Zhang,



Yuntian Chen",,,
ArtAdapter: Text-to-Image Style Transfer using Multi-Level Style Encoder and Explicit Adaptation,"Dar-Yen Chen,



Hamish Tennent,



Ching-Wen Hsu",,,
GoodSAM: Bridging Domain and Capacity Gaps via Segment Anything Model for Distortion-aware Panoramic Semantic Segmentation,"Weiming Zhang,



Yexin Liu,



Xu Zheng,



Lin Wang",,,
DYSON: Dynamic Feature Space Self-Organization for Online Task-Free Class Incremental Learning,"Yuhang He,



Yingjie Chen,



Yuhan Jin,



Songlin Dong,



Xing Wei,



Yihong Gong",,,
Streaming Dense Video Captioning,"Xingyi Zhou,



Anurag Arnab,



Shyamal Buch,



Shen Yan,



Austin Myers,



Xuehan Xiong,



Arsha Nagrani,



Cordelia Schmid",,,
Rethinking Inductive Biases for Surface Normal Estimation,"Gwangbin Bae,



Andrew J. Davison",,,
Event-based Structure-from-Orbit,"Ethan Elms,



Yasir Latif,



Tae Ha Park,



Tat-Jun Chin",,,
LED: A Large-scale Real-world Paired Dataset for Event Camera Denoising,Yuxing Duan,,,
Fair Federated Learning under Domain Skew with Local Consistency and Domain Diversity,"Yuhang Chen,



Wenke Huang,



Mang Ye",,,
Activity-Biometrics: Person Identification from Daily Activities,"Shehreen Azad,



Yogesh Singh Rawat",,,
Z*: Zero-shot Style Transfer via Attention Reweighting,"Yingying Deng,



Xiangyu He,



Fan Tang,



Weiming Dong",,,
HIG: Hierarchical Interlacement Graph Approach to Scene Graph Generation in Video Understanding,"Trong-Thuan Nguyen,



Pha Nguyen,



Khoa Luu",,,
OOSTraj: Out-of-Sight Trajectory Prediction With Vision-Positioning Denoising,"Haichao Zhang,



Yi Xu,



Hongsheng Lu,



Takayuki Shimizu,



Yun Fu",,,
FADES: Fair Disentanglement with Sensitive Relevance,"Taeuk Jang,



Xiaoqian Wang",,,
Learning Continuous 3D Words for Text-to-Image Generation,"Ta-Ying Cheng,



Matheus Gadelha,



Thibault Groueix,



Matthew Fisher,



Radomir Mech,



Andrew Markham,



Niki Trigoni",,,
MarkovGen: Structured Prediction for Efficient Text-to-Image Generation,"Sadeep Jayasumana,



Daniel Glasner,



Srikumar Ramalingam,



Andreas Veit,



Ayan Chakrabarti,



Sanjiv Kumar",,,
Self-Supervised Class-Agnostic Motion Prediction with Spatial and Temporal Consistency Regularizations,"Kewei Wang,



Yizheng Wu,



Jun Cen,



Zhiyu Pan,



Xingyi Li,



Zhe Wang,



Zhiguo Cao,



Guosheng Lin",,,
HashPoint: Accelerated Point Searching and Sampling for Neural Rendering,"Jiahao Ma,



Miaomiao Liu,



David Ahmedt-Aristizabal,



Chuong Nguyen",,,
MFP: Making Full Use of Probability Maps for Interactive Image Segmentation,"Chaewon Lee,



Seon-Ho Lee,



Chang-Su Kim",,,
CAT: Exploiting Inter-Class Dynamics for Domain Adaptive Object Detection,"Mikhail Kennerley,



Jian-Gang Wang,



Bharadwaj Veeravalli,



Robby T. Tan",,,
StyLitGAN: Image-Based Relighting via Latent Control,"Anand Bhattad,



James Soole,



D.A. Forsyth",,,
An Empirical Study of Scaling Law for Scene Text Recognition,"Miao Rang,



Zhenni Bi,



Chuanjian Liu,



Yunhe Wang,



Kai Han",,,
Text2Loc: 3D Point Cloud Localization from Natural Language,"Yan Xia,



Letian Shi,



Zifeng Ding,



Joao F. Henriques,



Daniel Cremers",,,
SVDinsTN: A Tensor Network Paradigm for Efficient Structure Search from Regularized Modeling Perspective,"Yu-Bang Zheng,



Xi-Le Zhao,



Junhua Zeng,



Chao Li,



Qibin Zhao,



Heng-Chao Li,



Ting-Zhu Huang",,,
Decomposing Disease Descriptions for Enhanced Pathology Detection: A Multi-Aspect Vision-Language Pre-training Framework,"Vu Minh Hieu Phan,



Yutong Xie,



Yuankai Qi,



Lingqiao Liu,



Liyang Liu,



Bowen Zhang,



Zhibin Liao,



Qi Wu,



Minh-Son To,



Johan W. Verjans",,,
MoMask: Generative Masked Modeling of 3D Human Motions,"Chuan Guo,



Yuxuan Mu,



Muhammad Gohar Javed,



Sen Wang,



Li Cheng",,,
Inverse Rendering of Glossy Objects via the Neural Plenoptic Function and Radiance Fields,"Haoyuan Wang,



Wenbo Hu,



Lei Zhu,



Rynson W.H. Lau",,,
Split to Merge: Unifying Separated Modalities for Unsupervised Domain Adaptation,"Xinyao Li,



Yuke Li,



Zhekai Du,



Fengling Li,



Ke Lu,



Jingjing Li",,,
Fitting Flats to Flats,"Gabriel Dogadov,



Ugo Finnendahl,



Marc Alexa",,,
Fusing Personal and Environmental Cues for Identification and Segmentation of First-Person Camera Wearers in Third-Person Views,"Ziwei Zhao,



Yuchen Wang,



Chuhua Wang",,,
Coupled Laplacian Eigenmaps for Locally-Aware 3D Rigid Point Cloud Matching,"Matteo Bastico,



Etienne Decencière,



Laurent Corté,



Yannick Tillier,



David Ryckelynck",,,
Overcoming Generic Knowledge Loss with Selective Parameter Update,"Wenxuan Zhang,



Paul Janson,



Rahaf Aljundi,



Mohamed Elhoseiny",,,
Desigen: A Pipeline for Controllable Design Template Generation,"Haohan Weng,



Danqing Huang,



Yu Qiao,



Zheng Hu,



Chin-Yew Lin,



Tong Zhang,



C. L. Philip Chen",,,
Diff-BGM: A Diffusion Model for Video Background Music Generation,"Sizhe Li,



Yiming Qin,



Minghang Zheng,



Xin Jin,



Yang Liu",,,
Looking Similar Sounding Different: Leveraging Counterfactual Cross-Modal Pairs for Audiovisual Representation Learning,"Nikhil Singh,



Chih-Wei Wu,



Iroro Orife,



Mahdi Kalayeh",,,
Multi-criteria Token Fusion with One-step-ahead Attention for Efficient Vision Transformers,"Sanghyeok Lee,



Joonmyung Choi,



Hyunwoo J. Kim",,,
Towards HDR and HFR Video from Rolling-Mixed-Bit Spikings,"Yakun Chang,



Yeliduosi Xiaokaiti,



Yujia Liu,



Bin Fan,



Zhaojun Huang,



Tiejun Huang,



Boxin Shi",,,
Scaling Up Video Summarization Pretraining with Large Language Models,"Dawit Mureja Argaw,



Seunghyun Yoon,



Fabian Caba Heilbron,



Hanieh Deilamsalehy,



Trung Bui,



Zhaowen Wang,



Franck Dernoncourt,



Joon Son Chung",,,
Continuous Optical Zooming: A Benchmark for Arbitrary-Scale Image Super-Resolution in Real World,"Huiyuan Fu,



Fei Peng,



Xianwei Li,



Yejun Li,



Xin Wang,



Huadong Ma",,,
Sharingan: A Transformer Architecture for Multi-Person Gaze Following,"Samy Tafasca,



Anshul Gupta,



Jean-Marc Odobez",,,
ViewFusion: Towards Multi-View Consistency via Interpolated Denoising,"Xianghui Yang,



Yan Zuo,



Sameera Ramasinghe,



Loris Bazzani,



Gil Avraham,



Anton van den Hengel",,,
SketchINR: A First Look into Sketches as Implicit Neural Representations,"Hmrishav Bandyopadhyay,



Ayan Kumar Bhunia,



Pinaki Nath Chowdhury,



Aneeshan Sain,



Tao Xiang,



Timothy Hospedales,



Yi-Zhe Song",,,
Open-Vocabulary Segmentation with Semantic-Assisted Calibration,"Yong Liu,



Sule Bai,



Guanbin Li,



Yitong Wang,



Yansong Tang",,,
MatchU: Matching Unseen Objects for 6D Pose Estimation from RGB-D Images,"Junwen Huang,



Hao Yu,



Kuan-Ting Yu,



Nassir Navab,



Slobodan Ilic,



Benjamin Busam",,,
Towards a Perceptual Evaluation Framework for Lighting Estimation,"Justine Giroux,



Mohammad Reza Karimi Dastjerdi,



Yannick Hold-Geoffroy,



Javier Vazquez-Corral,



Jean-François Lalonde",,,
Bridging the Synthetic-to-Authentic Gap: Distortion-Guided Unsupervised Domain Adaptation for Blind Image Quality Assessment,"Aobo Li,



Jinjian Wu,



Yongxu Liu,



Leida Li",,,
Coherent Temporal Synthesis for Incremental Action Segmentation,"Guodong Ding,



Hans Golong,



Angela Yao",,,
HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting,"Yuheng Jiang,



Zhehao Shen,



Penghao Wang,



Zhuo Su,



Yu Hong,



Yingliang Zhang,



Jingyi Yu,



Lan Xu",,,
G-FARS: Gradient-Field-based Auto-Regressive Sampling for 3D Part Grouping,"Junfeng Cheng,



Tania Stathaki",,,
Towards High-fidelity Artistic Image Vectorization via Texture-Encapsulated Shape Parameterization,"Ye Chen,



Bingbing Ni,



Jinfan Liu,



Xiaoyang Huang,



Xuanhong Chen",,,
On Exact Inversion of DPM-Solvers,"Seongmin Hong,



Kyeonghyun Lee,



Suh Yoon Jeon,



Hyewon Bae,



Se Young Chun",,,
EfficientSAM: Leveraged Masked Image Pretraining for Efficient Segment Anything,"Yunyang Xiong,



Bala Varadarajan,



Lemeng Wu,



Xiaoyu Xiang,



Fanyi Xiao,



Chenchen Zhu,



Xiaoliang Dai,



Dilin Wang,



Fei Sun,



Forrest Iandola,



Raghuraman Krishnamoorthi,



Vikas Chandra",,,
ChatScene: Knowledge-Enabled Safety-Critical Scenario Generation for Autonomous Vehicles,"Jiawei Zhang,



Chejian Xu,



Bo Li",,,
CAMEL: CAusal Motion Enhancement Tailored for Lifting Text-driven Video Editing,"Guiwei Zhang,



Tianyu Zhang,



Guanglin Niu,



Zichang Tan,



Yalong Bai,



Qing Yang",,,
Teeth-SEG: An Efficient Instance Segmentation Framework for Orthodontic Treatment based on Multi-Scale Aggregation and Anthropic Prior Knowledge,"Bo Zou,



Shaofeng Wang,



Hao Liu,



Gaoyue Sun,



Yajie Wang,



FeiFei Zuo,



Chengbin Quan,



Youjian Zhao",,,
FocSAM: Delving Deeply into Focused Objects in Segmenting Anything,"You Huang,



Zongyu Lan,



Liujuan Cao,



Xianming Lin,



Shengchuan Zhang,



Guannan Jiang,



Rongrong Ji",,,
DMR: Decomposed Multi-Modality Representations for Frames and Events Fusion in Visual Reinforcement Learning,"Haoran Xu,



Peixi Peng,



Guang Tan,



Yuan Li,



Xinhai Xu,



Yonghong Tian",,,
